Sample_ID,Method_R1,Coef_np_R1,Coef_OLS_R1,Standard_Error_R1,Data_Points_Used_R1,Diff_R1,Data_Points_R1,smaller_than_R1,Method_R2,Coef_np_R2,Coef_OLS_R2,Standard_Error_R2,Data_Points_Used_R2,Diff_R2,smaller_than_R2,larger_than_R2
10-6,0,4.9,4.9,0.0,0,0,,0.0,0,4.9,4.9,0.0,0,0,0.0,0.0
10-7,0,3.1,3.1,0.0,0,0,,0.0,0,3.1,3.1,0.0,0,0,0.0,0.0
10-8,0,0.8,0.8,0.0,0,0,,0.0,0,0.8,0.8,0.0,0,0,0.0,0.0
10-9,0,2.8,2.8,0.0,0,0,,0.0,0,2.8,2.8,0.0,0,0,0.0,0.0
10-10,0,3.2,3.2,0.0,0,0,,0.0,0,3.2,3.2,0.0,0,0,0.0,0.0
10-11,0,8.0,8.0,0.0,0,0,,0.0,0,8.0,8.0,0.0,0,0,0.0,0.0
10-12,0,5.9,5.9,0.0,0,0,,0.0,0,5.9,5.9,0.0,0,0,0.0,0.0
11-1,3,10.699701156824997,10.699701156824997,3.2972851318955656,4,0,10.0,0.0,3,10.589844858064792,10.589844858064792,2.6618207646364174,4,0,0.0,0.0
11-2,3,35.528447446945194,35.528447446945194,0.0,2,0,6.0,0.0,3,24.448193703002055,24.448193703002055,5.175864916667397e-15,2,0,0.0,0.0
11-3,3,2.394280162513336,2.3942801625133354,0.2794927018676386,7,0,7.0,0.0,3,2.3814558263989762,2.381455826398976,0.2773200394492821,7,0,0.0,0.0
11-4,3,132.6683284831024,132.6683284831024,0.0,2,0,5.0,0.0,3,128.8517314665355,128.8517314665355,1.7942998377780307e-14,2,0,0.0,0.0
11-5,3,136.47922020233943,136.47922020233943,0.0,2,0,3.0,0.0,3,131.26301414483066,131.26301414483066,0.0,2,0,0.0,0.0
11-6,3,75.78046097157865,75.78046097157865,0.0,2,0,3.0,0.0,3,75.13698724506887,75.13698724506885,1.5582077538598683e-14,2,0,0.0,0.0
12-1,3,7.88684639671884,7.886846396718839,0.26762975615129675,12,0,12.0,0.0,3,7.914741190981854,7.914741190981854,0.25978660755631555,12,0,0.0,0.0
13-1,2,0.8312332185708505,0.8312332185708505,0.030392572625616062,3,0,8.0,0.0,2,0.8204878214702116,0.8204878214702116,0.023337153980383787,3,0,0.0,0.0
13-2,2,2.1283561542908296,2.1283561542908296,0.18778268086541353,3,0,8.0,0.0,2,2.130658739383824,2.130658739383824,0.19103902793244387,3,0,0.0,0.0
13-3,2,2.3307277996861955,2.330727799686195,0.2266724750559859,4,0,6.0,0.0,2,2.3460783669728227,2.3460783669728227,0.2539317540668485,4,0,0.0,0.0
14-1,3,59.98122006042436,59.98122006042436,3.6300353073734795,17,0,25.0,0.0,3,56.74758388896761,56.74758388896761,3.4792090999342866,17,0,0.0,0.0
14-2,3,27.654834167242782,27.654834167242782,1.6542264702269696,22,0,28.0,0.0,3,25.46164578304293,25.461645783042933,1.9243719632318057,22,0,0.0,0.0
14-3,3,13.24687703573686,13.246877035736862,0.5128992674237702,38,0,38.0,0.0,3,12.71533386582056,12.715333865820561,0.46674026817876424,44,0,0.0,0.0
14-4,3,123.64425660278363,123.64425660278363,5.759652497910889,7,0,11.0,0.0,3,114.13338585507115,114.13338585507115,4.799761623300213,7,0,0.0,0.0
14-5,3,39.19416215571765,39.19416215571765,1.7548026376531307,14,0,18.0,0.0,3,37.72730674558188,37.72730674558188,2.287009030776548,14,0,0.0,0.0
14-6,3,14.062674196188857,14.062674196188858,2.0755178873427913,12,0,13.0,0.0,3,13.385694849128637,13.385694849128637,1.960083518550738,12,0,0.0,0.0
14-7,3,8.166618923501767,8.166618923501767,0.691746448363389,10,0,10.0,0.0,3,8.030579619901012,8.03057961990101,0.6814810895439526,11,0,0.0,0.0
14-8,3,4.033640974204278,4.033640974204278,0.22408740633881566,21,0,24.0,0.0,3,3.978950566610228,3.978950566610228,0.22876544499862517,21,0,0.0,0.0
14-9,3,61.281573270581596,61.2815732705816,5.334600629157523,6,0,8.0,0.0,3,63.864077277274134,63.86407727727414,3.7527246986438034,6,0,0.0,0.0
14-10,3,32.159885030848606,32.159885030848606,4.738564870868288,18,0,18.0,0.0,3,31.744298769785175,31.744298769785175,4.766300806280078,18,0,0.0,0.0
14-11,3,17.798097328533725,17.798097328533725,0.5664314122047516,12,0,16.0,0.0,3,17.217409312847185,17.217409312847188,0.8686925558209527,16,0,0.0,0.0
14-12,3,14.998489131749121,14.998489131749123,1.1014001660897508,12,0,12.0,0.0,3,14.695638112883838,14.695638112883838,1.1197157689633737,12,0,0.0,0.0
14-13,3,7.616211924312936,7.616211924312936,0.5865721865515725,18,0,23.0,0.0,3,7.580169803161652,7.580169803161647,0.332155935141717,23,0,0.0,0.0
14-14,3,4.846179775087533,4.846179775087533,0.22617870340397564,28,0,28.0,0.0,3,4.877203629413716,4.877203629413715,0.22263784866178654,29,0,0.0,0.0
15-1,3,6.890624448968615,6.890624448968616,1.1983471714025438,4,0,7.0,0.0,3,6.474446049228335,6.474446049228336,1.56470645481832,3,0,0.0,0.0
15-2,3,15.878264030769008,15.878264030769008,0.5660250066185121,4,0,7.0,0.0,3,15.373912241253244,15.373912241253246,0.681152757107797,3,0,0.0,0.0
15-3,3,25.288632035550147,25.288632035550144,0.5141913685319671,4,0,7.0,0.0,3,24.920319190259416,24.92031919025942,0.5373028046899455,3,0,0.0,0.0
15-4,3,33.755292845762824,33.755292845762824,1.6353889264209602,4,0,7.0,0.0,3,33.082655843761295,33.082655843761295,1.9584946042680365,3,0,0.0,0.0
15-5,3,31.03703320097007,31.037033200970075,1.0190877341355746,4,0,7.0,0.0,3,30.225838015035634,30.225838015035634,1.1753245500358367,3,0,0.0,0.0
